case:concept:name,trace,start_time,end_time,app_type,duration_hours,has_accepted,has_denied,has_cancelled,is_success,edit_distance,norm_distance,rework_events,trace_len,is_non_success,deviation_band
Application_1000610355,"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Denied', 'O_Refused')",2016-11-30 08:30:06.392000+00:00,2016-12-27 08:44:48.450000+00:00,New credit,648.2450161111111,True,True,False,False,6,0.375,1,16,True,medium
Application_1000647090,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused')",2016-02-28 09:54:37.548000+00:00,2016-03-29 13:42:29.825000+00:00,New credit,723.7978547222222,True,True,False,False,3,0.23076923076923078,0,13,True,medium
Application_1000671285,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-04-13 13:03:47.542000+00:00,2016-04-22 09:45:48.489000+00:00,New credit,212.70026305555558,True,False,False,True,6,0.3333333333333333,1,18,False,medium
Application_1000691650,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'W_Complete application', 'A_Complete', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'A_Cancelled', 'O_Cancelled', 'O_Cancelled', 'O_Cancelled', 'O_Cancelled')",2016-01-17 10:54:30.997000+00:00,2016-02-29 07:01:50.386000+00:00,New credit,1028.1220524999999,True,False,True,False,15,0.6521739130434783,0,23,True,very_high
Application_1000806256,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",2016-06-01 09:03:46.811000+00:00,2016-06-17 11:16:49.618000+00:00,New credit,386.2174463888889,True,True,False,False,3,0.23076923076923078,1,13,True,medium
Application_1000856802,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-09-20 17:00:30.299000+00:00,2016-10-08 07:02:06.652000+00:00,Limit raise,422.0267647222222,True,False,False,True,1,0.08333333333333333,0,11,False,low
Application_1000867366,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-07-18 20:09:49.012000+00:00,2016-07-27 10:30:53.967000+00:00,New credit,206.35137638888887,True,False,False,True,1,0.07692307692307693,0,13,False,low
Application_1000956993,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-09-20 08:37:41.331000+00:00,2016-10-24 06:05:15.853000+00:00,New credit,813.4595894444444,True,False,False,True,4,0.25,2,16,False,medium
Application_1001114274,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Returned', 'A_Validating', 'O_Accepted', 'A_Pending', 'O_Cancelled', 'O_Cancelled', 'O_Cancelled', 'O_Cancelled')",2016-12-15 15:00:49.985000+00:00,2017-01-13 13:03:19.052000+00:00,New credit,694.0414075,True,False,False,True,21,0.6363636363636364,2,33,False,very_high
Application_1001177986,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-06-23 20:11:52.218000+00:00,2016-07-22 06:16:03.064000+00:00,New credit,682.0696794444444,True,False,False,True,10,0.5,6,20,False,high
Application_1001274919,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-05-02 08:26:05.733000+00:00,2016-05-10 15:27:24.199000+00:00,Limit raise,199.02179611111112,True,False,False,True,3,0.23076923076923078,1,13,False,medium
Application_1001484676,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'O_Returned', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-12-07 09:19:29.974000+00:00,2016-12-27 10:08:56.798000+00:00,Limit raise,480.82411777777776,True,False,False,True,6,0.3333333333333333,4,18,False,medium
Application_1001624285,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending', 'W_Validate application')",2016-04-15 10:10:06.296000+00:00,2016-05-11 10:17:13.135000+00:00,Limit raise,624.1185663888889,True,False,False,True,4,0.25,3,16,False,medium
Application_1001854554,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-08-24 07:28:22.829000+00:00,2016-09-25 06:00:19.871000+00:00,New credit,766.5325116666667,True,False,True,False,6,0.5,0,10,True,high
Application_1001858108,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-08-15 08:13:41.345000+00:00,2016-08-24 14:50:42.311000+00:00,Limit raise,222.616935,True,False,False,True,5,0.29411764705882354,3,17,False,medium
Application_1001866944,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-08-17 11:07:35.380000+00:00,2016-09-22 06:46:08.340000+00:00,New credit,859.6424888888889,True,False,False,True,5,0.3333333333333333,2,15,False,medium
Application_1002013470,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Denied', 'O_Refused')",2016-03-29 16:19:21.219000+00:00,2016-04-20 12:38:04.099000+00:00,New credit,524.311911111111,True,True,False,False,4,0.2857142857142857,1,14,True,medium
Application_1002032547,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-03-10 10:18:44.920000+00:00,2016-04-11 06:00:28.840000+00:00,New credit,763.6955333333333,True,False,True,False,6,0.5,0,10,True,high
Application_1002051388,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",2016-02-24 06:52:17.709000+00:00,2016-03-15 09:18:12.001000+00:00,New credit,482.43174777777773,True,True,False,False,4,0.2857142857142857,1,14,True,medium
Application_1002129113,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-09-09 18:35:15.785000+00:00,2016-10-24 06:47:33.734000+00:00,New credit,1068.2049858333332,True,False,False,True,5,0.29411764705882354,3,17,False,medium
Application_1002324382,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-05-30 16:14:44.708000+00:00,2016-06-09 08:56:02.104000+00:00,Limit raise,232.68816555555554,True,False,False,True,0,0.0,0,12,False,low
Application_1002348901,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-03-15 19:57:05.452000+00:00,2016-04-16 06:14:10.605000+00:00,New credit,754.2847647222222,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_100239804,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-08-18 10:54:23.870000+00:00,2016-08-26 12:25:18.178000+00:00,New credit,193.51508555555554,True,False,False,True,5,0.3333333333333333,2,15,False,medium
Application_1002442935,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-06-23 20:29:32.748000+00:00,2016-07-29 06:00:15.925000+00:00,New credit,849.5119936111112,True,False,True,False,6,0.5,0,10,True,high
Application_1002485344,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'A_Cancelled', 'O_Cancelled', 'O_Cancelled', 'W_Call incomplete files')",2016-01-16 22:57:37.903000+00:00,2016-04-21 07:56:54.770000+00:00,New credit,2288.988018611111,True,False,True,False,14,0.6363636363636364,5,22,True,very_high
Application_1002567868,"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",2016-12-16 16:15:51.490000+00:00,2016-12-23 09:32:53.039000+00:00,New credit,161.2837636111111,True,True,False,False,6,0.42857142857142855,1,14,True,high
Application_1002602375,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-12-01 17:35:08.698000+00:00,2016-12-19 13:28:11.787000+00:00,New credit,427.8841913888889,True,False,False,True,13,0.52,8,25,False,high
Application_1002626536,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Validating', 'O_Accepted', 'A_Pending', 'O_Cancelled')",2016-08-11 19:19:33.682000+00:00,2016-08-29 10:04:45.158000+00:00,New credit,422.7531877777778,True,False,False,True,7,0.3684210526315789,1,19,False,medium
Application_1002664914,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Cancelled', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-02-18 14:47:30.950000+00:00,2016-03-20 07:00:17.130000+00:00,New credit,736.2128277777779,True,False,True,False,7,0.5384615384615384,0,13,True,high
Application_1002747267,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",2016-10-10 08:27:48.557000+00:00,2016-10-17 14:20:45.019000+00:00,New credit,173.88235055555558,True,True,False,False,4,0.2857142857142857,1,14,True,medium
Application_1002843616,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-06-21 11:10:30.456000+00:00,2016-07-08 12:29:46.615000+00:00,New credit,409.3211552777778,True,False,False,True,3,0.2,2,15,False,low
Application_1002961837,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'A_Complete', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending', 'O_Cancelled', 'O_Cancelled', 'O_Cancelled')",2016-09-19 11:22:00.198000+00:00,2016-10-31 12:38:23.669000+00:00,New credit,1009.2731863888889,True,False,False,True,17,0.6071428571428571,2,28,False,very_high
Application_1002996676,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-02-19 14:07:16.599000+00:00,2016-03-24 07:00:19.613000+00:00,New credit,808.8841705555556,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_100305707,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-02-12 18:28:18.495000+00:00,2016-02-26 14:59:28.536000+00:00,New credit,332.5194558333333,True,False,False,True,2,0.16666666666666666,0,12,False,low
Application_1003092772,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Denied', 'O_Refused')",2016-04-22 15:13:55.735000+00:00,2016-05-04 13:37:57.875000+00:00,New credit,286.40059444444444,True,True,False,False,5,0.3333333333333333,1,15,True,medium
Application_1003146166,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Cancelled', 'A_Cancelled')",2016-12-15 11:56:20.222000+00:00,2017-01-15 07:00:27.348000+00:00,New credit,739.0686461111112,True,False,True,False,8,0.6666666666666666,0,8,True,very_high
Application_1003184938,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-02-11 15:39:49.170000+00:00,2016-02-22 10:16:13.581000+00:00,New credit,258.60678083333335,True,False,False,True,2,0.14285714285714285,1,14,False,low
Application_1003213123,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'W_Validate application')",2016-05-11 11:49:05.818000+00:00,2016-05-20 10:21:47.296000+00:00,New credit,214.544855,True,True,False,False,3,0.23076923076923078,1,13,True,medium
Application_1003239424,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-06-18 11:36:12.329000+00:00,2016-07-22 06:00:48.110000+00:00,New credit,810.4099391666666,True,False,True,False,6,0.5,0,10,True,high
Application_1003257895,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'W_Complete application', 'A_Complete', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Denied', 'O_Refused', 'O_Refused', 'O_Refused', 'O_Refused', 'O_Refused', 'W_Assess potential fraud')",2016-04-30 10:21:09.349000+00:00,2016-06-17 12:32:11.386000+00:00,New credit,1154.1838991666666,True,True,False,False,20,0.6666666666666666,1,30,True,very_high
Application_1003264681,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-07-05 15:34:04.419000+00:00,2016-07-22 14:17:27.676000+00:00,Limit raise,406.72312694444446,True,False,False,True,7,0.4117647058823529,3,17,False,high
Application_1003291296,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-11-10 20:47:32.075000+00:00,2016-12-13 07:00:15.761000+00:00,New credit,778.2121350000001,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_1003335792,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-02-22 21:46:59.766000+00:00,2016-03-26 07:13:57.711000+00:00,New credit,777.4494291666666,True,False,True,False,6,0.5,0,10,True,high
Application_1003444518,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'O_Returned', 'A_Cancelled', 'O_Cancelled', 'W_Call incomplete files')",2016-09-13 08:04:46.761000+00:00,2016-11-10 08:02:23.329000+00:00,New credit,1391.9601577777778,True,False,True,False,7,0.4666666666666667,3,15,True,high
Application_1003445359,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-09-20 14:54:44.210000+00:00,2016-10-03 05:18:34.139000+00:00,New credit,302.3972025,True,False,False,True,2,0.16666666666666666,0,12,False,low
Application_1003568418,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-06-01 19:55:34.269000+00:00,2016-07-05 06:00:25.464000+00:00,New credit,802.0808874999999,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_1003575962,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-01-19 20:41:26.596000+00:00,2016-02-23 07:00:43.219000+00:00,New credit,826.3212841666667,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_1003594594,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-07-13 13:56:48.751000+00:00,2016-08-14 06:00:45.389000+00:00,New credit,760.0657327777777,True,False,True,False,5,0.4166666666666667,0,11,True,high
Application_1003634925,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-02-08 12:15:54.757000+00:00,2016-03-09 13:44:20.422000+00:00,Limit raise,721.4737958333334,True,False,False,True,0,0.0,0,12,False,low
Application_1003639640,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending', 'W_Validate application')",2016-01-26 11:31:07.592000+00:00,2016-02-03 12:57:24.359000+00:00,Limit raise,193.43799083333334,True,False,False,True,1,0.07692307692307693,1,13,False,low
Application_1003879772,"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'W_Call incomplete files', 'A_Validating', 'W_Validate application', 'A_Incomplete', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending', 'W_Validate application', 'O_Cancelled')",2016-02-17 21:48:15.655000+00:00,2016-05-03 11:26:36.541000+00:00,New credit,1813.639135,True,False,False,True,19,0.6551724137931034,8,29,False,very_high
Application_1003896153,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'A_Denied', 'O_Refused', 'O_Refused')",2016-09-27 10:13:58.353000+00:00,2016-10-05 15:57:45.530000+00:00,New credit,197.7297713888889,True,True,False,False,7,0.4375,0,16,True,high
Application_1003963311,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-09-16 10:43:49.507000+00:00,2016-09-29 07:39:52.899000+00:00,New credit,308.93427555555553,True,False,False,True,0,0.0,0,12,False,low
