dataset,global_trace_index,case_id,application_type,case_start_time,case_start_year_week,case_end_time,duration_hours,retained_event_count,distinct_activity_count
BPI Challenge 2017,33,Application_1395142997,New credit,2016-01-02T11:23:37.115000+00:00,2015-W53,2016-01-15T11:58:18.808000+00:00,312.5782,12,12
BPI Challenge 2017,34,Application_2015287405,New credit,2016-01-02T11:27:01.856000+00:00,2015-W53,2016-02-29T07:01:20.466000+00:00,1387.5718,14,10
BPI Challenge 2017,35,Application_1193723578,New credit,2016-01-02T11:32:06.644000+00:00,2015-W53,2016-01-14T15:16:16.671000+00:00,291.7361,19,14
BPI Challenge 2017,36,Application_2049529862,New credit,2016-01-02T12:00:10.887000+00:00,2015-W53,2016-01-18T12:40:36.646000+00:00,384.6738,16,13
BPI Challenge 2017,37,Application_1699757505,New credit,2016-01-02T12:04:29.676000+00:00,2015-W53,2016-01-12T10:55:29.394000+00:00,238.8499,23,16
BPI Challenge 2017,38,Application_493034835,Limit raise,2016-01-02T12:24:39.241000+00:00,2015-W53,2016-01-12T12:13:45.151000+00:00,239.8183,13,13
BPI Challenge 2017,39,Application_842511489,Limit raise,2016-01-02T12:35:04.926000+00:00,2015-W53,2016-01-11T10:35:23.657000+00:00,214.0052,11,11
BPI Challenge 2017,40,Application_1474017032,Limit raise,2016-01-02T12:38:45.653000+00:00,2015-W53,2016-01-15T08:31:04.469000+00:00,307.8719,19,14
BPI Challenge 2017,41,Application_1397856354,Limit raise,2016-01-02T12:54:35.336000+00:00,2015-W53,2016-02-04T07:00:32.955000+00:00,786.0993,10,10
BPI Challenge 2017,42,Application_767475240,New credit,2016-01-02T13:02:58.729000+00:00,2015-W53,2016-02-01T08:10:25.250000+00:00,715.124,37,16
BPI Challenge 2017,43,Application_980495316,Limit raise,2016-01-02T13:03:23.652000+00:00,2015-W53,2016-01-29T12:20:25.487000+00:00,647.2838,15,13
BPI Challenge 2017,44,Application_2035768049,Limit raise,2016-01-02T13:07:12.386000+00:00,2015-W53,2016-01-15T14:04:14.109000+00:00,312.9505,12,12
BPI Challenge 2017,45,Application_1307111345,Limit raise,2016-01-02T13:11:46.112000+00:00,2015-W53,2016-01-15T08:16:50.452000+00:00,307.0845,13,12
BPI Challenge 2017,46,Application_821425679,Limit raise,2016-01-02T13:18:32.154000+00:00,2015-W53,2016-01-11T14:58:57.026000+00:00,217.6736,13,12
BPI Challenge 2017,47,Application_1294530310,New credit,2016-01-02T13:54:22.116000+00:00,2015-W53,2016-01-22T07:06:35.313000+00:00,473.2037,13,13
BPI Challenge 2017,48,Application_470922426,New credit,2016-01-02T14:04:02.686000+00:00,2015-W53,2016-01-22T13:07:06.442000+00:00,479.051,12,12
BPI Challenge 2017,49,Application_1461440233,New credit,2016-01-02T14:49:26.671000+00:00,2015-W53,2016-02-29T07:01:39.317000+00:00,1384.2035,15,11
BPI Challenge 2017,50,Application_857715587,New credit,2016-01-02T14:59:43.597000+00:00,2015-W53,2016-02-02T07:00:33.780000+00:00,736.0139,10,10
BPI Challenge 2017,51,Application_351152063,Limit raise,2016-01-02T15:05:26.838000+00:00,2015-W53,2016-01-15T10:42:14.221000+00:00,307.6132,11,11
BPI Challenge 2017,52,Application_1547844908,New credit,2016-01-02T15:09:45.377000+00:00,2015-W53,2016-01-14T14:17:09.978000+00:00,287.1235,21,14
BPI Challenge 2017,53,Application_2055987002,Limit raise,2016-01-02T15:36:05.498000+00:00,2015-W53,2016-01-11T16:04:09.609000+00:00,216.4678,12,12
BPI Challenge 2017,54,Application_1118236712,New credit,2016-01-02T16:18:10.582000+00:00,2015-W53,2016-02-06T07:12:29.103000+00:00,830.9051,11,11
BPI Challenge 2017,55,Application_1234535641,New credit,2016-01-02T16:23:04.942000+00:00,2015-W53,2016-02-29T07:01:33.735000+00:00,1382.6413,15,11
BPI Challenge 2017,56,Application_1898882436,New credit,2016-01-02T16:28:40.753000+00:00,2015-W53,2016-01-13T10:00:56.599000+00:00,257.5377,13,13
BPI Challenge 2017,57,Application_2113276114,New credit,2016-01-02T16:46:47.829000+00:00,2015-W53,2016-01-22T08:32:26.938000+00:00,471.7609,16,14
BPI Challenge 2017,58,Application_1603124379,New credit,2016-01-02T16:57:47.627000+00:00,2015-W53,2016-01-12T10:20:22.065000+00:00,233.3762,23,16
BPI Challenge 2017,59,Application_2110144842,New credit,2016-01-02T17:28:46.400000+00:00,2015-W53,2016-02-04T07:00:41.411000+00:00,781.5319,11,11
BPI Challenge 2017,60,Application_486645986,New credit,2016-01-02T18:36:32.396000+00:00,2015-W53,2016-01-15T15:48:10.861000+00:00,309.194,20,16
BPI Challenge 2017,61,Application_587387633,New credit,2016-01-02T19:08:09.318000+00:00,2015-W53,2016-01-19T11:11:36.460000+00:00,400.0575,13,13
BPI Challenge 2017,62,Application_901793095,New credit,2016-01-02T19:31:09.947000+00:00,2015-W53,2016-01-14T14:43:43.715000+00:00,283.2094,14,14
BPI Challenge 2017,63,Application_340403559,New credit,2016-01-02T20:06:53.324000+00:00,2015-W53,2016-02-29T07:01:44.536000+00:00,1378.9142,15,11
BPI Challenge 2017,64,Application_1825104006,New credit,2016-01-02T20:20:30.638000+00:00,2015-W53,2016-02-29T07:01:41.168000+00:00,1378.6863,26,10
BPI Challenge 2017,65,Application_1530322400,New credit,2016-01-02T20:55:17.129000+00:00,2015-W53,2016-02-05T14:41:15.449000+00:00,809.7662,16,16
BPI Challenge 2017,66,Application_593655901,New credit,2016-01-02T21:46:09.069000+00:00,2015-W53,2016-02-29T07:01:55.180000+00:00,1377.2628,15,11
BPI Challenge 2017,67,Application_1535675187,New credit,2016-01-02T22:21:24.654000+00:00,2015-W53,2016-01-15T16:17:08.265000+00:00,305.9288,25,17
BPI Challenge 2017,68,Application_1767756144,New credit,2016-01-03T03:12:06.921000+00:00,2015-W53,2016-01-15T10:47:08.148000+00:00,295.5837,16,13
BPI Challenge 2017,69,Application_1405679737,New credit,2016-01-03T08:02:41.184000+00:00,2015-W53,2016-03-22T16:53:06.515000+00:00,1904.8404,19,16
BPI Challenge 2017,70,Application_446334558,New credit,2016-01-03T08:22:08.002000+00:00,2015-W53,2016-02-06T07:12:38.329000+00:00,814.8418,15,12
BPI Challenge 2017,71,Application_130460765,New credit,2016-01-03T08:40:31.866000+00:00,2015-W53,2016-01-18T13:49:58.251000+00:00,365.1573,17,14
BPI Challenge 2017,72,Application_1300843234,New credit,2016-01-03T09:06:51.553000+00:00,2015-W53,2016-01-12T11:00:35.427000+00:00,217.8955,17,13
BPI Challenge 2017,73,Application_1588619628,New credit,2016-01-03T09:57:28.137000+00:00,2015-W53,2016-02-29T07:02:06.229000+00:00,1365.0772,20,12
BPI Challenge 2017,74,Application_505474597,New credit,2016-01-03T09:58:49.721000+00:00,2015-W53,2016-01-13T15:25:38.889000+00:00,245.447,20,14
BPI Challenge 2017,75,Application_1765204099,New credit,2016-01-03T09:58:59.556000+00:00,2015-W53,2016-01-13T15:30:46.976000+00:00,245.5298,16,13
BPI Challenge 2017,76,Application_1624825294,New credit,2016-01-03T10:18:46.540000+00:00,2015-W53,2016-02-09T08:01:45.244000+00:00,885.7163,16,16
BPI Challenge 2017,77,Application_1448214642,New credit,2016-01-03T10:38:25.737000+00:00,2015-W53,2016-01-15T14:43:48.053000+00:00,292.0895,22,16
BPI Challenge 2017,78,Application_987262285,New credit,2016-01-03T10:59:06.782000+00:00,2015-W53,2016-01-12T09:32:11.993000+00:00,214.5514,14,14
BPI Challenge 2017,79,Application_1845547664,New credit,2016-01-03T12:14:04.858000+00:00,2015-W53,2016-01-13T14:58:00.149000+00:00,242.732,17,14
BPI Challenge 2017,80,Application_1947648225,New credit,2016-01-03T12:40:33.815000+00:00,2015-W53,2016-03-24T07:00:35.317000+00:00,1938.3338,19,11
BPI Challenge 2017,81,Application_1130101747,New credit,2016-01-03T12:46:54.868000+00:00,2015-W53,2016-01-22T08:07:07.257000+00:00,451.3368,14,14
BPI Challenge 2017,82,Application_798605556,New credit,2016-01-03T14:01:52.706000+00:00,2015-W53,2016-01-12T09:26:12.147000+00:00,211.4054,11,11
BPI Challenge 2017,83,Application_2062932311,New credit,2016-01-03T14:35:53.926000+00:00,2015-W53,2016-01-13T13:57:14.661000+00:00,239.3558,15,14
BPI Challenge 2017,84,Application_430902047,New credit,2016-01-03T15:35:18.353000+00:00,2015-W53,2016-01-25T14:56:36.378000+00:00,527.355,14,13
BPI Challenge 2017,85,Application_1370588808,New credit,2016-01-03T16:10:23.744000+00:00,2015-W53,2016-02-05T07:00:23.165000+00:00,782.8332,10,10
BPI Challenge 2017,86,Application_163777174,New credit,2016-01-03T16:49:25.060000+00:00,2015-W53,2016-01-22T08:12:30.218000+00:00,447.3848,21,16
BPI Challenge 2017,87,Application_909491524,New credit,2016-01-03T17:13:55.454000+00:00,2015-W53,2016-01-14T14:41:38.894000+00:00,261.4621,14,14
BPI Challenge 2017,88,Application_396349881,New credit,2016-01-03T17:48:44.322000+00:00,2015-W53,2016-01-19T09:00:18.307000+00:00,375.1928,16,16
BPI Challenge 2017,89,Application_930742634,New credit,2016-01-03T18:44:02.905000+00:00,2015-W53,2016-02-04T17:12:45.755000+00:00,766.4786,17,14
BPI Challenge 2017,90,Application_2068443797,New credit,2016-01-03T18:50:16.638000+00:00,2015-W53,2016-02-29T07:02:28.062000+00:00,1356.2032,15,11
BPI Challenge 2017,91,Application_354702724,New credit,2016-01-03T19:16:08.587000+00:00,2015-W53,2016-01-14T06:53:09.280000+00:00,251.6169,17,14
BPI Challenge 2017,92,Application_1357431492,New credit,2016-01-03T19:19:57.948000+00:00,2015-W53,2016-02-04T07:00:23.989000+00:00,755.6739,11,11
BPI Challenge 2017,93,Application_584603670,New credit,2016-01-03T19:22:56.382000+00:00,2015-W53,2016-01-12T12:16:49.986000+00:00,208.8982,21,16
BPI Challenge 2017,94,Application_807916303,New credit,2016-01-03T19:27:30.771000+00:00,2015-W53,2016-03-03T14:42:56.592000+00:00,1435.2572,23,16
BPI Challenge 2017,95,Application_283012951,New credit,2016-01-03T19:28:38.105000+00:00,2015-W53,2016-01-18T06:49:24.905000+00:00,347.3463,16,15
BPI Challenge 2017,96,Application_1876456626,New credit,2016-01-03T19:38:39.293000+00:00,2015-W53,2016-01-15T12:26:14.056000+00:00,280.793,29,16
BPI Challenge 2017,97,Application_178025821,New credit,2016-01-03T20:06:42.225000+00:00,2015-W53,2016-01-22T08:43:50.945000+00:00,444.6191,22,16
BPI Challenge 2017,98,Application_813133375,New credit,2016-01-03T20:11:13.898000+00:00,2015-W53,2016-01-13T14:24:57.844000+00:00,234.2289,25,16
BPI Challenge 2017,99,Application_268676496,New credit,2016-01-03T20:32:05.061000+00:00,2015-W53,2016-01-14T14:50:51.864000+00:00,258.313,26,16
BPI Challenge 2017,100,Application_1870161219,New credit,2016-01-03T20:36:08.278000+00:00,2015-W53,2016-02-29T13:06:48.507000+00:00,1360.5112,18,14
BPI Challenge 2017,101,Application_1723779444,New credit,2016-01-03T21:11:00.861000+00:00,2015-W53,2016-02-29T07:02:43.703000+00:00,1353.8619,15,11
BPI Challenge 2017,102,Application_1339153511,New credit,2016-01-03T21:22:16.358000+00:00,2015-W53,2016-01-19T11:52:21.985000+00:00,374.5016,22,14
BPI Challenge 2017,103,Application_1754646859,New credit,2016-01-03T21:23:24.985000+00:00,2015-W53,2016-02-29T07:02:39.670000+00:00,1353.6541,14,10
BPI Challenge 2017,104,Application_2002564265,New credit,2016-01-03T22:03:36.391000+00:00,2015-W53,2016-01-06T18:13:00.478000+00:00,68.1567,10,10
BPI Challenge 2017,105,Application_1304234740,New credit,2016-01-04T00:27:52.920000+00:00,2016-W01,2016-01-28T17:02:45.607000+00:00,592.5813,22,15
BPI Challenge 2017,106,Application_58755651,New credit,2016-01-04T03:22:04.024000+00:00,2016-W01,2016-01-13T10:27:31.275000+00:00,223.0909,22,15
BPI Challenge 2017,107,Application_93597308,New credit,2016-01-04T04:01:40.814000+00:00,2016-W01,2016-01-22T16:04:06.914000+00:00,444.0406,16,14
BPI Challenge 2017,108,Application_774787486,New credit,2016-01-04T06:54:48.281000+00:00,2016-W01,2016-01-29T14:22:26.523000+00:00,607.4606,17,13
BPI Challenge 2017,109,Application_1660185664,New credit,2016-01-04T07:01:40.321000+00:00,2016-W01,2016-02-22T15:34:58.258000+00:00,1184.555,17,15
BPI Challenge 2017,110,Application_2105878744,New credit,2016-01-04T07:31:20.774000+00:00,2016-W01,2016-01-25T15:11:34.626000+00:00,511.6705,16,14
BPI Challenge 2017,111,Application_1446096185,New credit,2016-01-04T08:08:21.242000+00:00,2016-W01,2016-01-22T08:46:23.613000+00:00,432.634,17,13
BPI Challenge 2017,112,Application_675073178,New credit,2016-01-04T08:15:19.485000+00:00,2016-W01,2016-01-19T07:49:55.978000+00:00,359.5768,17,14
BPI Challenge 2017,113,Application_952532843,New credit,2016-01-04T08:28:43.832000+00:00,2016-W01,2016-02-29T07:02:55.914000+00:00,1342.57,15,11
BPI Challenge 2017,114,Application_914660918,Limit raise,2016-01-04T08:36:08.826000+00:00,2016-W01,2016-01-26T12:12:52.803000+00:00,531.6122,12,12
BPI Challenge 2017,115,Application_167944225,New credit,2016-01-04T08:37:33.791000+00:00,2016-W01,2016-01-11T13:28:06.242000+00:00,172.8423,12,12
BPI Challenge 2017,116,Application_1962860870,New credit,2016-01-04T08:40:19.338000+00:00,2016-W01,2016-01-11T10:34:36.603000+00:00,169.9048,15,13
BPI Challenge 2017,117,Application_1696031128,Limit raise,2016-01-04T08:40:23.096000+00:00,2016-W01,2016-01-11T13:58:55.163000+00:00,173.3089,11,11
BPI Challenge 2017,118,Application_803879893,Limit raise,2016-01-04T08:49:57.678000+00:00,2016-W01,2016-01-15T08:46:52.335000+00:00,263.9485,17,14
BPI Challenge 2017,119,Application_1886382319,New credit,2016-01-04T08:51:28.458000+00:00,2016-W01,2016-02-29T07:03:05.333000+00:00,1342.1936,14,10
BPI Challenge 2017,120,Application_1250134245,New credit,2016-01-04T08:57:06.634000+00:00,2016-W01,2016-02-29T07:03:04.752000+00:00,1342.0995,15,11
BPI Challenge 2017,121,Application_1044610848,Limit raise,2016-01-04T08:57:50.577000+00:00,2016-W01,2016-01-21T12:08:40.891000+00:00,411.1806,13,13
BPI Challenge 2017,122,Application_1999238509,Limit raise,2016-01-04T09:01:10.521000+00:00,2016-W01,2016-01-27T13:48:32.040000+00:00,556.7893,22,16
BPI Challenge 2017,123,Application_854524772,New credit,2016-01-04T09:06:22.173000+00:00,2016-W01,2016-01-22T07:51:20.554000+00:00,430.7496,13,13
BPI Challenge 2017,124,Application_927205634,New credit,2016-01-04T09:14:17.249000+00:00,2016-W01,2016-02-01T08:19:34.821000+00:00,671.0882,16,16
BPI Challenge 2017,125,Application_484278024,Limit raise,2016-01-04T09:15:01.420000+00:00,2016-W01,2016-02-19T15:24:23.096000+00:00,1110.156,13,13
BPI Challenge 2017,126,Application_1674281629,Limit raise,2016-01-04T09:17:19.225000+00:00,2016-W01,2016-01-07T12:02:39.182000+00:00,74.7555,16,13
BPI Challenge 2017,127,Application_299986859,Limit raise,2016-01-04T09:23:38.465000+00:00,2016-W01,2016-01-12T13:16:41.630000+00:00,195.8842,13,13
BPI Challenge 2017,128,Application_1374020543,Limit raise,2016-01-04T09:24:01.741000+00:00,2016-W01,2016-02-17T13:04:56.645000+00:00,1059.6819,23,15
BPI Challenge 2017,129,Application_1252717204,New credit,2016-01-04T09:38:02.346000+00:00,2016-W01,2016-03-08T11:32:37.332000+00:00,1537.9097,24,13
BPI Challenge 2017,130,Application_24648067,New credit,2016-01-04T09:42:16.359000+00:00,2016-W01,2016-01-15T09:14:48.701000+00:00,263.5423,12,12
BPI Challenge 2017,131,Application_1823402778,New credit,2016-01-04T09:46:10.645000+00:00,2016-W01,2016-01-15T14:54:49.368000+00:00,269.1441,21,15
BPI Challenge 2017,132,Application_2108937169,New credit,2016-01-04T09:50:49.366000+00:00,2016-W01,2016-01-22T07:03:32.146000+00:00,429.2119,17,14
BPI Challenge 2017,133,Application_895241174,Limit raise,2016-01-04T10:06:39.718000+00:00,2016-W01,2016-01-14T12:40:03.190000+00:00,242.5565,20,14
BPI Challenge 2017,134,Application_1290239114,New credit,2016-01-04T10:10:35.773000+00:00,2016-W01,2016-01-13T10:55:51.406000+00:00,216.7543,13,13
BPI Challenge 2017,135,Application_1787371920,Limit raise,2016-01-04T10:18:31.591000+00:00,2016-W01,2016-01-14T08:16:42.675000+00:00,237.9697,14,13
BPI Challenge 2017,136,Application_1471099537,Limit raise,2016-01-04T10:26:46.907000+00:00,2016-W01,2016-01-12T09:44:57.622000+00:00,191.303,14,12
BPI Challenge 2017,137,Application_37839400,Limit raise,2016-01-04T10:31:47.066000+00:00,2016-W01,2016-02-03T14:07:44.406000+00:00,723.5993,13,12
BPI Challenge 2017,138,Application_1128910355,Limit raise,2016-01-04T10:38:47.611000+00:00,2016-W01,2016-02-27T09:54:22.421000+00:00,1295.2597,19,15
BPI Challenge 2017,139,Application_54405635,Limit raise,2016-01-04T10:40:54.565000+00:00,2016-W01,2016-02-05T07:00:24.668000+00:00,764.325,10,10
BPI Challenge 2017,140,Application_395903076,New credit,2016-01-04T10:43:43.965000+00:00,2016-W01,2016-01-13T09:41:23.171000+00:00,214.9609,12,12
BPI Challenge 2017,141,Application_1859638703,New credit,2016-01-04T10:44:47.654000+00:00,2016-W01,2016-01-12T15:32:52.632000+00:00,196.8014,20,15
BPI Challenge 2017,142,Application_1101997724,New credit,2016-01-04T10:59:33.699000+00:00,2016-W01,2016-01-21T18:42:41.041000+00:00,415.7187,17,17
BPI Challenge 2017,143,Application_74505494,New credit,2016-01-04T11:08:36.516000+00:00,2016-W01,2016-02-05T07:00:34.271000+00:00,763.866,15,11
BPI Challenge 2017,144,Application_525275343,New credit,2016-01-04T11:13:38.021000+00:00,2016-W01,2016-01-13T13:06:53.061000+00:00,217.8875,14,14
BPI Challenge 2017,145,Application_106973225,New credit,2016-01-04T11:18:36.651000+00:00,2016-W01,2016-02-05T07:00:37.628000+00:00,763.7003,10,10
BPI Challenge 2017,146,Application_1315608886,New credit,2016-01-04T11:31:28.230000+00:00,2016-W01,2016-01-21T16:11:41.201000+00:00,412.6703,14,13
BPI Challenge 2017,147,Application_1538441067,New credit,2016-01-04T11:37:00.036000+00:00,2016-W01,2016-01-28T08:09:43.812000+00:00,572.5455,18,14
BPI Challenge 2017,148,Application_822724921,New credit,2016-01-04T11:48:25.026000+00:00,2016-W01,2016-01-11T16:29:16.976000+00:00,172.6811,21,16
BPI Challenge 2017,149,Application_2040511284,New credit,2016-01-04T11:53:44.913000+00:00,2016-W01,2016-01-30T09:57:53.651000+00:00,622.0691,18,10
BPI Challenge 2017,150,Application_1754943309,New credit,2016-01-04T12:00:45.773000+00:00,2016-W01,2016-01-06T13:45:14.034000+00:00,49.7412,10,10
BPI Challenge 2017,151,Application_323012882,New credit,2016-01-04T12:11:04.602000+00:00,2016-W01,2016-01-11T15:11:37.821000+00:00,171.0092,14,13
BPI Challenge 2017,152,Application_347136910,New credit,2016-01-04T12:29:02.690000+00:00,2016-W01,2016-01-15T10:05:20.446000+00:00,261.6049,15,14
BPI Challenge 2017,153,Application_1432907447,New credit,2016-01-04T12:35:53.327000+00:00,2016-W01,2016-01-22T08:17:51.485000+00:00,427.6995,13,13
BPI Challenge 2017,154,Application_1004303396,New credit,2016-01-04T12:38:39.579000+00:00,2016-W01,2016-01-29T12:51:12.804000+00:00,600.2092,27,16
BPI Challenge 2017,155,Application_1096831814,New credit,2016-01-04T12:46:25.745000+00:00,2016-W01,2016-01-08T15:50:24.842000+00:00,99.0664,18,14
BPI Challenge 2017,156,Application_1068218912,New credit,2016-01-04T12:51:45.303000+00:00,2016-W01,2016-02-29T07:01:00.412000+00:00,1338.1542,15,11
BPI Challenge 2017,157,Application_709929024,New credit,2016-01-04T12:53:54.012000+00:00,2016-W01,2016-01-12T13:37:49.780000+00:00,192.7322,16,13
BPI Challenge 2017,158,Application_347787380,Limit raise,2016-01-04T13:13:04.002000+00:00,2016-W01,2016-02-16T10:57:27.366000+00:00,1029.7398,17,14
BPI Challenge 2017,159,Application_1546754076,New credit,2016-01-04T13:22:34.418000+00:00,2016-W01,2016-01-21T12:50:00.968000+00:00,407.4574,20,14
BPI Challenge 2017,160,Application_1365381023,New credit,2016-01-04T13:29:31.474000+00:00,2016-W01,2016-02-29T07:00:57.054000+00:00,1337.5238,15,11
BPI Challenge 2017,161,Application_1981969728,New credit,2016-01-04T13:30:37.154000+00:00,2016-W01,2016-01-22T07:28:05.260000+00:00,425.9578,15,15
BPI Challenge 2017,162,Application_665878125,New credit,2016-01-04T13:34:14.237000+00:00,2016-W01,2016-02-29T07:00:55.207000+00:00,1337.4447,14,10
BPI Challenge 2017,163,Application_1044911465,New credit,2016-01-04T13:39:34.635000+00:00,2016-W01,2016-02-29T07:00:56.062000+00:00,1337.356,16,12
BPI Challenge 2017,164,Application_1613424593,New credit,2016-01-04T13:51:52.843000+00:00,2016-W01,2016-01-20T07:24:00.378000+00:00,377.5354,18,14
BPI Challenge 2017,165,Application_862160604,New credit,2016-01-04T14:00:37.372000+00:00,2016-W01,2016-02-29T07:00:54.286000+00:00,1337.0047,14,10
BPI Challenge 2017,166,Application_60181210,New credit,2016-01-04T14:07:19.380000+00:00,2016-W01,2016-01-19T07:10:46.948000+00:00,353.0577,15,14
BPI Challenge 2017,167,Application_369018038,Limit raise,2016-01-04T14:23:25.511000+00:00,2016-W01,2016-02-04T07:00:27.316000+00:00,736.6172,10,10
BPI Challenge 2017,168,Application_920048730,New credit,2016-01-04T14:25:14.102000+00:00,2016-W01,2016-02-05T07:00:26.543000+00:00,760.5868,13,9
BPI Challenge 2017,169,Application_220402598,Limit raise,2016-01-04T14:34:30.218000+00:00,2016-W01,2016-02-05T07:00:25.066000+00:00,760.4319,9,9
BPI Challenge 2017,170,Application_1947668470,Limit raise,2016-01-04T14:40:06.912000+00:00,2016-W01,2016-01-18T09:51:44.715000+00:00,331.1938,11,11
BPI Challenge 2017,171,Application_1301925609,Limit raise,2016-01-04T14:41:48.473000+00:00,2016-W01,2016-01-15T12:14:04.268000+00:00,261.5377,13,13
BPI Challenge 2017,172,Application_2070389081,Limit raise,2016-01-04T14:43:23.489000+00:00,2016-W01,2016-01-14T06:57:32.006000+00:00,232.2357,20,14
