n_traces,n_events,n_activities,trace_len_min,trace_len_max,trace_len_mean,trace_len_std,trace_len_median,duration_days,status,filename,level,drift_type,noise_pct,size_kb
2999,93388,48,27,50,31.14,3.01,30.0,22,OK,Atomic_SerialRemoval_output_SerialRemoval_2.xes.gz,Atomic,SerialRemoval,2,880.8
2999,95220,48,27,53,31.75,3.14,31.0,22,OK,Atomic_SerialRemoval_output_SerialRemoval_5.xes.gz,Atomic,SerialRemoval,5,894.9
2999,101001,43,27,57,33.68,3.96,33.0,22,OK,Atomic_Skip_output_Skip.xes.gz,Atomic,Skip,0,940.5
2999,103020,48,27,57,34.35,4.05,34.0,22,OK,Atomic_Skip_output_Skip_2.xes.gz,Atomic,Skip,2,970.8
2999,105040,48,27,58,35.03,4.1,34.0,22,OK,Atomic_Skip_output_Skip_5.xes.gz,Atomic,Skip,5,984.5
2999,98170,46,28,58,32.73,3.84,32.0,22,OK,Atomic_Substitute_output_Substitute.xes.gz,Atomic,Substitute,0,922.0
2999,100132,51,28,58,33.39,3.94,33.0,22,OK,Atomic_Substitute_output_Substitute_2.xes.gz,Atomic,Substitute,2,952.7
2999,102095,51,28,58,34.04,4.05,33.0,22,OK,Atomic_Substitute_output_Substitute_5.xes.gz,Atomic,Substitute,5,966.5
2999,99439,42,29,59,33.16,3.75,32.0,22,OK,Atomic_Swap_output_Swap.xes.gz,Atomic,Swap,0,933.7
2999,101427,47,29,63,33.82,3.85,33.0,22,OK,Atomic_Swap_output_Swap_2.xes.gz,Atomic,Swap,2,963.6
2999,103416,47,29,60,34.48,3.89,34.0,22,OK,Atomic_Swap_output_Swap_5.xes.gz,Atomic,Swap,5,976.5
2999,93413,40,25,51,31.15,2.99,31.0,22,OK,Composite_IOR_output_IOR.xes.gz,Composite,IOR,0,865.3
2999,95280,45,25,53,31.77,3.1,31.0,22,OK,Composite_IOR_output_IOR_2.xes.gz,Composite,IOR,2,896.8
2999,97149,45,25,53,32.39,3.16,32.0,22,OK,Composite_IOR_output_IOR_5.xes.gz,Composite,IOR,5,910.5
2999,101643,48,29,59,33.89,4.21,33.0,22,OK,Composite_IRO_output_IRO.xes.gz,Composite,IRO,0,949.6
2999,103675,53,29,60,34.57,4.32,34.0,22,OK,Composite_IRO_output_IRO_2.xes.gz,Composite,IRO,2,981.9
2999,105708,53,29,61,35.25,4.44,35.0,22,OK,Composite_IRO_output_IRO_5.xes.gz,Composite,IRO,5,997.0
2999,96419,46,28,51,32.15,3.37,32.0,22,OK,Composite_OIR_output_OIR.xes.gz,Composite,OIR,0,897.1
2999,98346,51,28,51,32.79,3.48,32.0,22,OK,Composite_OIR_output_OIR_2.xes.gz,Composite,OIR,2,927.6
2999,100275,51,28,53,33.44,3.58,33.0,22,OK,Composite_OIR_output_OIR_5.xes.gz,Composite,OIR,5,941.8
2999,132541,46,26,113,44.2,11.14,42.0,23,OK,Composite_ORI_output_ORI.xes.gz,Composite,ORI,0,1292.5
2999,135190,51,26,115,45.08,11.22,43.0,23,OK,Composite_ORI_output_ORI_2.xes.gz,Composite,ORI,2,1330.0
2999,137841,51,27,116,45.96,11.24,43.0,23,OK,Composite_ORI_output_ORI_5.xes.gz,Composite,ORI,5,1350.1
2999,102919,46,30,53,34.32,3.72,34.0,22,OK,Composite_RIO_output_RIO.xes.gz,Composite,RIO,0,965.7
2999,104975,51,30,55,35.0,3.85,34.0,22,OK,Composite_RIO_output_RIO_2.xes.gz,Composite,RIO,2,996.1
2999,107034,51,30,54,35.69,3.95,35.0,22,OK,Composite_RIO_output_RIO_5.xes.gz,Composite,RIO,5,1011.2
2999,102319,47,30,53,34.12,2.99,34.0,22,OK,Composite_ROI_output_ROI.xes.gz,Composite,ROI,0,960.5
2999,104363,52,30,55,34.8,3.11,34.0,22,OK,Composite_ROI_output_ROI_2.xes.gz,Composite,ROI,2,989.1
2999,106410,52,30,56,35.48,3.2,35.0,22,OK,Composite_ROI_output_ROI_5.xes.gz,Composite,ROI,5,1003.0
2999,140557,48,28,134,46.87,12.09,44.0,23,OK,Nested_IOR_output_IOR.xes.gz,Nested,IOR,0,1369.3
2999,143366,53,28,137,47.8,12.14,45.0,23,OK,Nested_IOR_output_IOR_2.xes.gz,Nested,IOR,2,1407.1
2999,146177,53,28,137,48.74,12.21,46.0,23,OK,Nested_IOR_output_IOR_5.xes.gz,Nested,IOR,5,1426.8
2999,146613,52,28,134,48.89,11.54,47.0,23,OK,Nested_IRO_output_IRO.xes.gz,Nested,IRO,0,1408.3
2999,149543,57,28,135,49.86,11.58,48.0,23,OK,Nested_IRO_output_IRO_2.xes.gz,Nested,IRO,2,1446.7
2999,152475,57,28,135,50.84,11.68,49.0,23,OK,Nested_IRO_output_IRO_5.xes.gz,Nested,IRO,5,1467.9
2999,103149,48,27,58,34.39,3.99,34.0,22,OK,Nested_OIR_output_OIR.xes.gz,Nested,OIR,0,976.8
2999,105210,53,27,59,35.08,4.09,34.0,22,OK,Nested_OIR_output_OIR_2.xes.gz,Nested,OIR,2,1006.1
2999,107274,53,27,59,35.77,4.15,35.0,22,OK,Nested_OIR_output_OIR_5.xes.gz,Nested,OIR,5,1020.6
2999,117302,48,30,152,39.11,11.03,36.0,22,OK,Nested_ORI_output_ORI.xes.gz,Nested,ORI,0,1112.3
2999,119647,53,30,152,39.9,11.08,36.0,22,OK,Nested_ORI_output_ORI_2.xes.gz,Nested,ORI,2,1145.2
2999,121993,53,30,153,40.68,11.19,37.0,22,OK,Nested_ORI_output_ORI_5.xes.gz,Nested,ORI,5,1162.1
2999,120158,50,30,149,40.07,8.45,38.0,22,OK,Nested_RIO_output_RIO.xes.gz,Nested,RIO,0,1095.4
2999,122560,55,30,149,40.87,8.53,39.0,22,OK,Nested_RIO_output_RIO_2.xes.gz,Nested,RIO,2,1132.2
2999,124963,55,30,150,41.67,8.56,40.0,22,OK,Nested_RIO_output_RIO_5.xes.gz,Nested,RIO,5,1150.8
2999,97994,44,27,54,32.68,3.12,32.0,22,OK,Nested_ROI_output_ROI.xes.gz,Nested,ROI,0,912.0
2999,99952,49,27,55,33.33,3.27,33.0,22,OK,Nested_ROI_output_ROI_2.xes.gz,Nested,ROI,2,941.8
2999,101912,49,27,54,33.98,3.32,33.0,22,OK,Nested_ROI_output_ROI_5.xes.gz,Nested,ROI,5,955.2
